wiki_entity,arxiv_entity,not_aligned
qubit,qubits,
Peter Shor,Shor's quantum algorithms,
Shor's algorithm,Grover algorithm,
quantum computer technology,quantum computing,
Post-quantum cryptography,post-quantum cryptography,
Noisy intermediate-scale quantum NISQ computing,quantum machine learning,
Quantum optimization algorithms,NISQ devices,
,,wiki: Grover's algorithm
,,wiki: quantum machine learning
,,arxiv: Deutsch's algorithm
,,arxiv: QOA
